New (Shinjitai),Grade,English meaning,Readings
一,1,one,イチ ichi、イツ itsu、ひと hito、ひと-つ hito-tsu
右,1,right (direction),ウ u、ユウ yū、みぎ migi
雨,1,rain,ウ u、あめ ame、（あま） (ama)
円,1,"round, yen",エン en、まる-い maru-i
王,1,king,オウ ō
音,1,sound,オン on、イン in、おと oto、ね ne
下,1,below,カ ka、ゲ ge、した shita、しも shimo、もと moto、さ-げる sa-geru、さ-がる sa-garu、くだ-る kuda-ru、くだ-す kuda-su、くだ-さる kuda-saru、お-ろす o-rosu、お-りる o-riru
火,1,fire,カ ka、ひ hi、（ほ） (ho)
花,1,flower,カ ka、はな hana
貝,1,shellfish,かい kai
学,1,study,ガク gaku、まな-ぶ mana-bu
気,1,feeling,キ ki、ケ ke
九,1,nine,キュウ kyū、ク ku、ここの kokono、ここの-つ kokono-tsu
休,1,rest,キュウ kyū、やす-む yasu-mu、やす-まる yasu-maru、やす-める yasu-meru
玉,1,ball,ギョク gyoku、たま tama
金,1,gold,キン kin、コン kon、かね kane、（かな） (kana)
空,1,sky,クウ kū、そら sora、あ-く a-ku、あ-ける a-keru、から kara
月,1,"month, moon",ゲツ getsu、ガツ gatsu、つき tsuki
犬,1,dog,ケン ken、いぬ inu
見,1,see,ケン ken、み-る mi-ru、み-える mi-eru、み-せる mi-seru
五,1,five,ゴ go、いつ itsu、いつ-つ itsu-tsu
口,1,mouth,コウ kō、ク ku、くち kuchi
校,1,school,コウ kō
左,1,left (direction),サ sa、ひだり hidari
三,1,three,サン san、み mi、み-つ mi-tsu、みっ-つ mi'-tsu
山,1,mountain,サン san、やま yama
子,1,child,シ shi、ス su、こ ko
四,1,four,シ shi、よ yo、よ-つ yo-tsu、よっ-つ yo'-tsu、よん yon
糸,1,thread,シ shi、いと ito
字,1,letter,ジ ji、あざ aza
耳,1,ear,ジ ji、みみ mimi
七,1,seven,シチ shichi、なな nana、なな-つ nana-tsu、（なの） (nano)
車,1,car,シャ sha、くるま kuruma
手,1,hand,シュ shu、て te、（た） (ta)
十,1,ten,ジュウ jū、ジッ ji'、とお too、と to
出,1,exit,シュツ shutsu、（スイ） (sui)、で-る de-ru、だ-す da-su
女,1,woman,ジョ jo、ニョ nyo、（ニョウ） (nyō)、おんな onna、め me
小,1,small,ショウ shō、ちい-さい chii-sai、こ ko、お o
上,1,up,ジョウ jō、（ショウ） (shō)、うえ ue、（うわ） (uwa)、かみ kami、あ-げる a-geru、あ-がる a-garu、のぼ-る nobo-ru、のぼ-せる nobo-seru、のぼ-す nobo-su
森,1,forest,シン shin、もり mori
人,1,person,ジン jin、ニン nin、ひと hito
水,1,water,スイ sui、みず mizu
正,1,correct,セイ sei、ショウ shō、ただ-しい tada-shii、ただ-す tada-su、まさ masa
生,1,life,セイ sei、ショウ shō、い-きる i-kiru、い-かす i-kasu、い-ける i-keru、う-まれる u-mareru、う-む u-mu、お-う o-u、は-える ha-eru、は-やす ha-yasu、き ki、なま nama
青,1,blue,セイ sei、（ショウ） (shō)、あお ao、あお-い ao-i
夕,1,evening,セキ seki、ゆう yū
石,1,stone,セキ seki、（シャク） (shaku)、（コク） (koku)、いし ishi
赤,1,red,セキ seki、（シャク） (shaku)、あか aka、あか-い aka-i、あか-らむ aka-ramu、あか-らめる aka-rameru
千,1,thousand,セン sen、ち chi
川,1,river,セン sen、かわ kawa
先,1,previous,セン sen、さき saki
早,1,early,ソウ sō、（サッ） (sa')、はや-い haya-i、はや-まる haya-maru、はや-める haya-meru
草,1,grass,ソウ sō、くさ kusa
足,1,foot,ソク soku、あし ashi、た-りる ta-riru、た-る ta-ru、た-す ta-su
村,1,village,ソン son、むら mura
大,1,large,ダイ dai、タイ tai、おお oo、おお-きい oo-kii、おお-いに oo-ini
男,1,male,ダン dan、ナン nan、おとこ otoko
竹,1,bamboo,チク chiku、たけ take
中,1,middle,チュウ chū、（ジュウ） (jū)、なか naka
虫,1,insect,チュウ chū、むし mushi
町,1,town,チョウ chō、まち machi
天,1,heaven,テン ten、あめ ame、（あま） (ama)
田,1,rice paddy,デン den、た ta
土,1,soil,ド do、ト to、つち tsuchi
二,1,two,ニ ni、ふた futa、ふた-つ futa-tsu
日,1,day,ニチ nichi、ジツ jitsu、ひ hi、か ka
入,1,enter,ニュウ nyū、い-る i-ru、い-れる i-reru、はい-る hai-ru
年,1,year,ネン nen、とし toshi
白,1,white,ハク haku、ビャク byaku、しろ shiro、（しら） (shira)、しろ-い shiro-i
八,1,eight,ハチ hachi、や ya、や-つ ya-tsu、やっ-つ ya'-tsu、（よう） (yō)
百,1,hundred,ヒャク hyaku
文,1,writing,ブン bun、モン mon、ふみ fumi
木,1,tree,ボク boku、モク moku、き ki、（こ） (ko)
本,1,book,ホン hon、もと moto
名,1,name,メイ mei、ミョウ myō、な na
目,1,eye,モク moku、（ボク） (boku)、め me、（ま） (ma)
立,1,stand up,リツ ritsu、（リュウ） (ryū)、た-つ ta-tsu、た-てる ta-teru
力,1,power,リョク ryoku、リキ riki、ちから chikara
林,1,woods,リン rin、はやし hayashi
六,1,six,ロク roku、む mu、む-つ mu-tsu、むっ-つ mu'-tsu、（むい） (mui)
