Katakana,Reading
ア,a
イ,i
ウ,u
エ,e
オ,o
ャ,ya
ュ,yu
ョ,yo
カ,ka
キ,ki
ク,ku
ケ,ke
コ,ko
キャ,kya
キュ,kyu
キョ,kyo
サ,sa
シ,shi
ス,su
セ,se
ソ,so
シャ,sha
シュ,shu
ショ,sho
タ,ta
チ,chi
ツ,tsu
テ,te
ト,to
チャ,cha
チュ,chu
チョ,cho
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ニャ,nya
ニュ,nyu
ニョ,nyo
ハ,ha
ヒ,hi
フ,"hu,fu"
ヘ,he
ホ,ho
ヒャ,hya
ヒュ,hyu
ヒョ,hyo
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ミャ,mya
ミュ,my
ミョ,myo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
リャ,rya
リュ,ryu
リョ,ryo
ワ,wa
(ヰ),wi
(ヱ),we
ヲ,wo
ン,n
ガ,ga
ギ,gi
グ,gu
ゲ,ge
ゴ,go
ギャ,gya
ギュ,gyu
ギョ,gyo
ザ,za
ジ,ji
ズ,zu
ゼ,ze
ゾ,zo
ジャ,ja
ジュ,ju
ジョ,jo
ダ,da
ヂ,(dji)
ヅ,(dzu)
デ,de
ド,do
ヂャ,(ja)
ヂュ,(ju)
ヂョ,(jo)
バ,ba
ビ,bi
ブ,bu
ベ,be
ボ,bo
ビャ,bya
ビュ,byu
ビョ,byo
パ,pa
ピ,pi
プ,pu
ペ,pe
ポ,po
ピャ,pya
ピュ,pyu
ピョ,pyo
イェ,ye
ウィ,wi
ウェ,we
ウォ,wo
(ヷ),va
(ヸ),vi
ヴ,vu
(ヹ),ve
(ヺ),vo
ヴァ,va
ヴィ,vi
ヴ,vu
ヴェ,ve
ヴォ,vo
ヴャ,vya
ヴュ,vyu
ヴョ,vyo
シェ,she
ジェ,je
チェ,che
ティ,ti
トゥ,tu
テュ,tyu
ディ,di
ドゥ,du
デュ,dyu
ツァ,tsa
ツィ,tsi
ツェ,tse
ツォ,tso
ファ,fa
フィ,fi
フェ,fe
フォ,fo
フュ,fyu
