New (Shinjitai),Grade,English meaning,Readings
胃,6,stomach,イi
異,6,uncommon,"イ、ことi, koto"
遺,6,bequeath,"イ、（ユイ）i, (yui)"
域,6,range,イキiki
宇,6,eaves,ウu
映,6,reflect,"エイ、うつ-る、うつ-す、は-えるei, utsu-ru, utsu-su, ha-eru"
延,6,prolong,"エン、の-びる、の-べる、の-ばすen, no-biru, no-beru, no-basu"
沿,6,run alongside,"エン、そ-うen, so-u"
恩,6,grace,オンon
我,6,ego,"ガ、われ、わga, ware, wa"
灰,6,ashes,"カイ、はいkai, hai"
拡,6,broaden,カクkaku
革,6,leather,"カク、かわkaku, kawa"
閣,6,tall,カクkaku
割,6,divide,"カツ、わ-る、わり、わ-れる、さ-くkatsu, wa-ru, wari, wa-reru, sa-ku"
株,6,stocks,かぶkabu
干,6,dry,"カン、ほ-す、ひ-るkan, ho-su, hi-ru"
巻,6,scroll,"カン、ま-く、まきkan, ma-ku, maki"
看,6,watch over,カンkan
簡,6,simplicity,カンkan
危,6,dangerous,"キ、あぶ-ない、あや-うい、あや-ぶむki, abu-nai, aya-ui, aya-bumu"
机,6,desk,"キ、つくえki, tsukue"
揮,6,brandish,キki
貴,6,precious,"キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶki, tatto-i, tōto-i, tatto-bu, tōto-bu"
疑,6,doubt,"ギ、うたが-うgi, utaga-u"
吸,6,suck,"キュウ、す-うkyū, su-u"
供,6,offer,"キョウ、（ク）、そな-える、ともkyō, (ku), sona-eru, tomo"
胸,6,bosom,"キョウ、むね、（むな）kyō, mune, (muna)"
郷,6,home town,"キョウ、ゴウkyō, gō"
勤,6,diligence,"キン、（ゴン）、つと-める、つと-まるkin, (gon), tsuto-meru, tsuto-maru"
筋,6,muscle,"キン、すじkin, suji"
系,6,lineage,ケイkei
敬,6,respect,"ケイ、うやま-うkei, uyama-u"
警,6,guard against,ケイkei
劇,6,drama,ゲキgeki
激,6,violent,"ゲキ、はげ-しいgeki, hage-shii"
穴,6,hole,"ケツ、あなketsu, ana"
券,6,ticket,ケンken
絹,6,silk,"ケン、きぬken, kinu"
権,6,rights,"ケン、（ゴン）ken, (gon)"
憲,6,constitution,ケンken
源,6,origin,"ゲン、みなもとgen, minamoto"
厳,6,strict,"ゲン、（ゴン）、おごそ-か、きび-しいgen, (gon), ogoso-ka, kibi-shii"
己,6,self,"コ、キ、おのれko, ki, onore"
呼,6,call,"コ、よ-ぶko, yo-bu"
誤,6,mistake,"ゴ、あやま-るgo, ayama-ru"
后,6,empress,コウkō
孝,6,filial piety,コウkō
皇,6,emperor,"コウ、オウkō, ō"
紅,6,deep red,"コウ、（ク）、べに、くれないkō, (ku), beni, kurenai"
降,6,descend,"コウ、お-りる、お-ろす、ふ-るkō, o-riru, o-rosu, fu-ru"
鋼,6,steel,"コウ、はがねkō, hagane"
刻,6,engrave,"コク、きざ-むkoku, kiza-mu"
穀,6,cereals,コクkoku
骨,6,bone,"コツ、ほねkotsu, hone"
困,6,become distressed,"コン、こま-るkon, koma-ru"
砂,6,sand,"サ、シャ、すなsa, sha, suna"
座,6,sit,"ザ、すわ-るza, suwa-ru"
済,6,settle,"サイ、す-む、す-ますsai, su-mu, su-masu"
裁,6,judge,"サイ、た-つ、さば-くsai, ta-tsu, saba-ku"
策,6,scheme,サクsaku
冊,6,counter for books,"サツ、サクsatsu, saku"
蚕,6,silkworm,"サン、かいこsan, kaiko"
至,6,climax,"シ、いた-るshi, ita-ru"
私,6,me,"シ、わたくし、わたしshi, watakushi, watashi"
姿,6,figure,"シ、すがたshi, sugata"
視,6,look at,シshi
詞,6,poetry,シshi
誌,6,document,シshi
磁,6,magnet,ジji
射,6,shoot,"シャ、い-るsha, i-ru"
捨,6,throw away,"シャ、す-てるsha, su-teru"
尺,6,shaku,シャクshaku
若,6,young,"ジャク、（ニャク）、わか-い、も-しくはjaku, (nyaku), waka-i, mo-shikuha"
樹,6,trees,ジュju
収,6,take in,"シュウ、おさ-める、おさ-まるshū, osa-meru, osa-maru"
宗,6,religion,"シュウ、ソウshū, sō"
就,6,concerning,"シュウ、（ジュ）、つ-く、つ-けるshū, (ju), tsu-ku, tsu-keru"
衆,6,masses,"シュウ、（シュ）shū, (shu)"
従,6,obey,"ジュウ、（ショウ）、（ジュ）、したが-う、したが-えるjū, (shō), (ju), shitaga-u, shitaga-eru"
縦,6,vertical,"ジュウ、たてjū, tate"
縮,6,shrink,"シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らすshuku, chiji-mu, chiji-maru, chiji-meru, chiji-reru, chiji-rasu"
熟,6,ripen,"ジュク、う-れるjuku, u-reru"
純,6,genuine,ジュンjun
処,6,dispose,ショsho
署,6,government office,ショsho
諸,6,various,ショsho
除,6,exclude,"ジョ、（ジ）、のぞ-くjo, (ji), nozo-ku"
