New (Shinjitai),Grade,English meaning,Readings
亜,S,sub-,アa
哀,S,pathetic,"アイ、あわ-れ、あわ-れむai, awa-re, awa-remu"
挨,S,push open,アイai
曖,S,not clear,アイai
握,S,grip,"アク、にぎ-るaku, nigi-ru"
扱,S,handle,あつか-うatsuka-u
宛,S,allocate,あ-てるa-teru
嵐,S,storm,あらしarashi
依,S,reliant,"イ、（エ）i, (e)"
威,S,intimidate,イi
為,S,do,イi
畏,S,fear,"イ、おそ-れるi, oso-reru"
尉,S,military officer,イi
萎,S,wither,"イ、な-えるi, na-eru"
偉,S,admirable,"イ、えら-いi, era-i"
椅,S,chair,イi
彙,S,same kind,イi
違,S,differ,"イ、ちが-う、ちが-えるi, chiga-u, chiga-eru"
維,S,fiber,イi
慰,S,consolation,"イ、なぐさ-める、なぐさ-むi, nagusa-meru, nagusa-mu"
緯,S,horizontal,イi
壱,S,one (falsification prevention),イチichi
逸,S,deviate,イツitsu
芋,S,potato,いもimo
咽,S,throat,インin
姻,S,matrimony,インin
淫 [7],S,lewdness,"イン、みだ-らin, mida-ra"
陰,S,shade,"イン、かげ、かげ-るin, kage, kage-ru"
隠,S,conceal,"イン、かく-す、かく-れるin, kaku-su, kaku-reru"
韻,S,rhyme,インin
唄,S,song,（うた）(uta)
鬱,S,gloom,ウツutsu
畝,S,furrow,うねune
浦,S,bay,うらura
詠,S,recitation,"エイ、よ-むei, yo-mu"
影,S,shadow,"エイ、かげei, kage"
鋭,S,pointed,"エイ、するど-いei, surudo-i"
疫,S,epidemic,"エキ、（ヤク）eki, (yaku)"
悦,S,ecstasy,エツetsu
越,S,cross over,"エツ、こ-す、こ-えるetsu, ko-su, ko-eru"
謁,S,audience,エツetsu
閲,S,review,エツetsu
炎,S,inflammation,"エン、ほのおen, honoo"
怨,S,grudge,"エン、オンen, on"
宴,S,banquet,エンen
援,S,aid,エンen
煙,S,smoke,"エン、けむ-る、けむり、けむ-いen, kemu-ru, kemuri, kemu-i"
猿,S,monkey,"エン、さるen, saru"
鉛,S,lead,"エン、なまりen, namari"
縁,S,affinity,"エン、ふちen, fuchi"
艶,S,glossy,"エン、つやen, tsuya"
汚,S,dirty,"オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-いo, kega-su, kega-reru, kega-rawashii, yogo-su, yogo-reru, kitana-i"
凹,S,concave,オウō
押,S,push,"オウ、お-す、お-さえるō, o-su, o-saeru"
旺,S,flourishing,オウō
欧,S,Europe,オウō
殴,S,assault,"オウ、なぐ-るō, nagu-ru"
翁,S,venerable old man,オウō
奥,S,heart,"オウ、おくō, oku"
憶,S,recollection,オクoku
臆,S,timidity,オクoku
虞,S,uneasiness,おそれosore
乙,S,the latter,オツotsu
俺,S,"I, we",おれore
卸,S,wholesale,"おろ-す、おろしoro-su, oroshi"
穏,S,calm,"オン、おだ-やかon, oda-yaka"
佳,S,excellent,カka
苛,S,torment,カka
架,S,rack,"カ、か-ける、か-かるka, ka-keru, ka-karu"
華,S,splendor,"カ、（ケ）、はなka, (ke), hana"
菓,S,confectionery,カka
渦,S,whirlpool,"カ、うずka, uzu"
嫁,S,marry into,"カ、よめ、とつ-ぐka, yome, totsu-gu"
暇,S,spare time,"カ、ひまka, hima"
禍,S,calamity,カka
靴,S,shoes,"カ、くつka, kutsu"
寡,S,widow,カka
箇,S,counters for things,カka
稼,S,earnings,"カ、かせ-ぐka, kase-gu"
蚊,S,mosquito,かka
牙 [5],S,tusk,"ガ、（ゲ）、きばga, (ge), kiba"
瓦,S,tile,"ガ、かわらga, kawara"
雅,S,gracious,ガga
餓,S,starve,ガga
介,S,jammed in,カイkai
戒,S,commandment,"カイ、いまし-めるkai, imashi-meru"
怪,S,suspicious,"カイ、あや-しい、あや-しむkai, aya-shii, aya-shimu"
拐,S,kidnap,カイkai
悔,S,repent,"カイ、く-いる、く-やむ、くや-しいkai, ku-iru, ku-yamu, kuya-shii"
皆,S,all,"カイ、みなkai, mina"
塊,S,clod,"カイ、かたまりkai, katamari"
楷,S,square character style,カイkai
潰,S,crush,"カイ、つぶ-す、つぶ-れるkai, tsubu-su, tsubu-reru"
壊,S,demolition,"カイ、こわ-す、こわ-れるkai, kowa-su, kowa-reru"
懐,S,pocket,"カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-けるkai, futokoro, natsu-kashii, natsu-kashimu, natsu-ku, natsu-keru"
諧,S,harmony,カイkai
劾,S,censure,ガイgai
崖,S,cliff,"ガイ、がけgai, gake"
涯,S,horizon,ガイgai
慨,S,rue,ガイgai
蓋,S,cover,"ガイ、ふたgai, futa"
該,S,above-stated,ガイgai
概,S,outline,ガイgai
骸,S,dead remains,ガイgai
垣,S,hedge,かきkaki
柿,S,persimmon,かきkaki
核,S,nucleus,カクkaku
殻,S,husk,"カク、からkaku, kara"
郭,S,enclosure,カクkaku
較,S,contrast,カクkaku
隔,S,isolate,"カク、へだ-てる、へだ-たるkaku, heda-teru, heda-taru"
獲,S,seize,"カク、え-るkaku, e-ru"
嚇,S,menacing,カクkaku
穫,S,harvest,カクkaku
岳,S,point,"ガク、たけgaku, take"
顎,S,jaw,"ガク、あごgaku, ago"
掛,S,hang,"か-ける、か-かる、かかりka-keru, ka-karu, kakari"
括,S,fasten,カツkatsu
喝,S,hoarse,カツkatsu
渇,S,thirst,"カツ、かわ-くkatsu, kawa-ku"
葛 [7],S,arrowroot,"カツ、くずkatsu, kuzu"
滑,S,slippery,"カツ、コツ、すべ-る、なめ-らかkatsu, kotsu, sube-ru, name-raka"
褐,S,brown,カツkatsu
轄,S,control,カツkatsu
且,S,moreover,か-つka-tsu
釜,S,kettle,かまkama
鎌,S,sickle,かまkama
刈,S,reap,か-るka-ru
甘,S,sweet,"カン、あま-い、あま-える、あま-やかすkan, ama-i, ama-eru, ama-yakasu"
汗,S,sweat,"カン、あせkan, ase"
缶,S,tin can,カンkan
肝,S,liver,"カン、きもkan, kimo"
冠,S,crown,"カン、かんむりkan, kanmuri"
陥,S,collapse,"カン、おちい-る、おとしい-れるkan, ochii-ru, otoshii-reru"
乾,S,dry,"カン、かわ-く、かわ-かすkan, kawa-ku, kawa-kasu"
勘,S,intuition,カンkan
患,S,afflicted,"カン、わずら-うkan, wazura-u"
貫,S,pierce,"カン、つらぬ-くkan, tsuranu-ku"
喚,S,yell,カンkan
堪,S,withstand,"カン、た-えるkan, ta-eru"
換,S,interchange,"カン、か-える、か-わるkan, ka-eru, ka-waru"
敢,S,daring,カンkan
棺,S,coffin,カンkan
款,S,goodwill,カンkan
閑,S,leisure,カンkan
勧,S,persuade,"カン、すす-めるkan, susu-meru"
寛,S,tolerant,カンkan
歓,S,delight,カンkan
監,S,oversee,カンkan
緩,S,slacken,"カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-めるkan, yuru-i, yuru-yaka, yuru-mu, yuru-meru"
憾,S,remorse,カンkan
還,S,send back,カンkan
環,S,ring,カンkan
韓 [5],S,Korea,カンkan
艦,S,warship,カンkan
鑑,S,specimen,"カン、かんが-みるkan, kanga-miru"
含,S,include,"ガン、ふく-む、ふく-めるgan, fuku-mu, fuku-meru"
玩,S,trifle with,ガンgan
頑,S,stubborn,ガンgan
企,S,plan,"キ、くわだ-てるki, kuwada-teru"
伎,S,deed,キki
忌,S,mourning,"キ、い-む、い-まわしいki, i-mu, i-mawashii"
奇,S,strange,キki
祈,S,pray,"キ、いの-るki, ino-ru"
軌,S,rut,キki
既,S,previously,"キ、すで-にki, sude-ni"
飢,S,hungry,"キ、う-えるki, u-eru"
鬼,S,ghost,"キ、おにki, oni"
亀,S,turtle,"キ、かめki, kame"
幾,S,how many,"キ、いくki, iku"
棋,S,chess piece,キki
棄,S,abandon,キki
毀,S,destroy,キki
畿,S,capital,キki
輝,S,radiance,"キ、かがや-くki, kagaya-ku"
騎,S,equestrian,キki
宜,S,best regards,ギgi
偽,S,falsehood,"ギ、いつわ-る、にせgi, itsuwa-ru, nise"
欺,S,deceit,"ギ、あざむ-くgi, azamu-ku"
儀,S,ceremony,ギgi
戯,S,frolic,"ギ、たわむ-れるgi, tawamu-reru"
擬,S,mimic,ギgi
犠,S,sacrifice,ギgi
菊,S,chrysanthemum,キクkiku
吉,S,good luck,"キチ、キツkichi, kitsu"
喫,S,consume,キツkitsu
詰,S,packed,"キツ、つ-める、つ-まる、つ-むkitsu, tsu-meru, tsu-maru, tsu-mu"
却,S,instead,キャクkyaku
脚,S,leg,"キャク、（キャ）、あしkyaku, (kya), ashi"
虐,S,tyrannize,"ギャク、しいた-げるgyaku, shiita-geru"
及,S,reach out,"キュウ、およ-ぶ、およ-び、およ-ぼすkyū, oyo-bu, oyo-bi, oyo-bosu"
丘,S,hill,"キュウ、おかkyū, oka"
