New (Shinjitai),Grade,English meaning,Readings
引,2,pull,イン in、ひ-く hi-ku、ひ-ける hi-keru
羽,2,feather,ウ u、は ha、はね hane
雲,2,cloud,ウン un、くも kumo
園,2,garden,エン en、その sono
遠,2,far,エン en、（オン） (on)、とお-い too-i
何,2,what,カ ka、なに nani、（なん） (nan)
科,2,section,カ ka
夏,2,summer,カ ka、（ゲ） (ge)、なつ natsu
家,2,house,カ ka、ケ ke、いえ ie、や ya
歌,2,song,カ ka、うた uta、うた-う uta-u
画,2,tableau,ガ ga、カク kaku
回,2,times,カイ kai、（エ） (e)、まわ-る mawa-ru、まわ-す mawa-su
会,2,association,カイ kai、エ e、あ-う a-u
海,2,sea,カイ kai、うみ umi
絵,2,picture,カイ kai、エ e
外,2,outside,ガイ gai、ゲ ge、そと soto、ほか hoka、はず-す hazu-su、はず-れる hazu-reru
角,2,angle,カク kaku、かど kado、つの tsuno
楽,2,pleasure,ガク gaku、ラク raku、たの-しい tano-shii、たの-しむ tano-shimu
活,2,active,カツ katsu
間,2,interval,カン kan、ケン ken、あいだ aida、ま ma
丸,2,circle,ガン gan、まる maru、まる-い maru-i、まる-める maru-meru
岩,2,boulder,ガン gan、いわ iwa
顔,2,face,ガン gan、かお kao
汽,2,steam,キ ki
記,2,write down,キ ki、しる-す shiru-su
帰,2,return,キ ki、かえ-る kae-ru、かえ-す kae-su
弓,2,"bow (archery, violin)",キュウ kyū、ゆみ yumi
牛,2,cow,ギュウ gyū、うし ushi
魚,2,fish,ギョ gyo、うお uo、さかな sakana
京,2,capital,キョウ kyō、ケイ kei
強,2,strong,キョウ kyō、ゴウ gō、つよ-い tsuyo-i、つよ-まる tsuyo-maru、つよ-める tsuyo-meru、し-いる shi-iru
教,2,teach,キョウ kyō、おし-える oshi-eru、おそ-わる oso-waru
近,2,near,キン kin、ちか-い chika-i
兄,2,older brother,ケイ kei、（キョウ） (kyō)、あに ani
形,2,shape,ケイ kei、ギョウ gyō、かた kata、かたち katachi
