New (Shinjitai),Grade,English meaning,Readings
亜,S,sub-,ア a
哀,S,pathetic,アイ ai、あわ-れ awa-re、あわ-れむ awa-remu
挨,S,push open,アイ ai
曖,S,not clear,アイ ai
握,S,grip,アク aku、にぎ-る nigi-ru
扱,S,handle,あつか-う atsuka-u
宛,S,allocate,あ-てる a-teru
嵐,S,storm,あらし arashi
依,S,reliant,イ i、（エ） (e)
威,S,intimidate,イ i
為,S,do,イ i
畏,S,fear,イ i、おそ-れる oso-reru
尉,S,military officer,イ i
萎,S,wither,イ i、な-える na-eru
偉,S,admirable,イ i、えら-い era-i
椅,S,chair,イ i
彙,S,same kind,イ i
違,S,differ,イ i、ちが-う chiga-u、ちが-える chiga-eru
維,S,fiber,イ i
慰,S,consolation,イ i、なぐさ-める nagusa-meru、なぐさ-む nagusa-mu
緯,S,horizontal,イ i
壱,S,one (falsification prevention),イチ ichi
逸,S,deviate,イツ itsu
芋,S,potato,いも imo
咽,S,throat,イン in
姻,S,matrimony,イン in
淫 [7],S,lewdness,イン in、みだ-ら mida-ra
陰,S,shade,イン in、かげ kage、かげ-る kage-ru
隠,S,conceal,イン in、かく-す kaku-su、かく-れる kaku-reru
韻,S,rhyme,イン in
唄,S,song,（うた）( uta)
鬱,S,gloom,ウツ utsu
畝,S,furrow,うね une
浦,S,bay,うら ura
詠,S,recitation,エイ ei、よ-む yo-mu
影,S,shadow,エイ ei、かげ kage
鋭,S,pointed,エイ ei、するど-い surudo-i
疫,S,epidemic,エキ eki、（ヤク） (yaku)
悦,S,ecstasy,エツ etsu
越,S,cross over,エツ etsu、こ-す ko-su、こ-える ko-eru
謁,S,audience,エツ etsu
閲,S,review,エツ etsu
炎,S,inflammation,エン en、ほのお honoo
怨,S,grudge,エン en、オン on
宴,S,banquet,エン en
援,S,aid,エン en
煙,S,smoke,エン en、けむ-る kemu-ru、けむり kemuri、けむ-い kemu-i
猿,S,monkey,エン en、さる saru
鉛,S,lead,エン en、なまり namari
縁,S,affinity,エン en、ふち fuchi
艶,S,glossy,エン en、つや tsuya
汚,S,dirty,オ o、けが-す kega-su、けが-れる kega-reru、けが-らわしい kega-rawashii、よご-す yogo-su、よご-れる yogo-reru、きたな-い kitana-i
凹,S,concave,オウ ō
押,S,push,オウ ō、お-す o-su、お-さえる o-saeru
旺,S,flourishing,オウ ō
欧,S,Europe,オウ ō
殴,S,assault,オウ ō、なぐ-る nagu-ru
翁,S,venerable old man,オウ ō
奥,S,heart,オウ ō、おく oku
憶,S,recollection,オク oku
臆,S,timidity,オク oku
虞,S,uneasiness,おそれ osore
乙,S,the latter,オツ otsu
俺,S,"I, we",おれ ore
卸,S,wholesale,おろ-す oro-su、おろし oroshi
穏,S,calm,オン on、おだ-やか oda-yaka
佳,S,excellent,カ ka
苛,S,torment,カ ka
架,S,rack,カ ka、か-ける ka-keru、か-かる ka-karu
華,S,splendor,カ ka、（ケ） (ke)、はな hana
菓,S,confectionery,カ ka
渦,S,whirlpool,カ ka、うず uzu
嫁,S,marry into,カ ka、よめ yome、とつ-ぐ totsu-gu
暇,S,spare time,カ ka、ひま hima
禍,S,calamity,カ ka
靴,S,shoes,カ ka、くつ kutsu
寡,S,widow,カ ka
箇,S,counters for things,カ ka
稼,S,earnings,カ ka、かせ-ぐ kase-gu
蚊,S,mosquito,か ka
牙 [5],S,tusk,ガ ga、（ゲ） (ge)、きば kiba
瓦,S,tile,ガ ga、かわら kawara
雅,S,gracious,ガ ga
餓,S,starve,ガ ga
介,S,jammed in,カイ kai
戒,S,commandment,カイ kai、いまし-める imashi-meru
怪,S,suspicious,カイ kai、あや-しい aya-shii、あや-しむ aya-shimu
拐,S,kidnap,カイ kai
悔,S,repent,カイ kai、く-いる ku-iru、く-やむ ku-yamu、くや-しい kuya-shii
皆,S,all,カイ kai、みな mina
塊,S,clod,カイ kai、かたまり katamari
楷,S,square character style,カイ kai
潰,S,crush,カイ kai、つぶ-す tsubu-su、つぶ-れる tsubu-reru
壊,S,demolition,カイ kai、こわ-す kowa-su、こわ-れる kowa-reru
